id,course_id,sel,tee_name,gender,par,course_rating,bogey_rating,slope_rating,rating_f,rating_b,front,back,bogey_rating_f,bogey_rating_b,slope_f,slope_b,tee_id,length,hp01,hp02,hp03,hp04,hp05,hp06,hp07,hp08,hp09,hp10,hp11,hp12,hp13,hp14,hp15,hp16,hp17,hp18
40,29052,1,Amarillo,M,72,69.8,92.5,123,35,34.8,35.0 / 121,34.8 / 124,46.2,46.3,121,121,416095,6283,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
41,29052,1,Azul,M,72,74.1,97.3,125,36.6,37.5,36.6 / 126,37.5 / 124,48.3,49,126,126,416092,7070,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
42,29052,1,Blanco,M,72,71.7,95.2,127,35.7,36,35.7 / 127,36.0 / 126,47.5,47.7,127,127,416094,6625,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
43,29052,1,Rojo Caballeros,M,72,66.2,87.5,115,33,33.2,33.0 / 113,33.2 / 116,43.5,44,113,113,709801,5596,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
44,29052,1,Rojo Damas,F,72,71.9,101.2,125,35.8,36.1,35.8 / 123,36.1 / 126,50.3,50.9,123,123,416096,5596,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
45,29211,1,Amarillo,M,72,68.5,91,121,34.6,33.9,34.6 / 126,33.9 / 116,46.3,44.7,126,126,428115,5978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
46,29211,1,Azul,M,72,72,95.4,126,36.1,35.9,36.1 / 127,35.9 / 125,47.9,47.5,127,127,428118,6694,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
47,29211,1,Blanco,M,72,71,94.3,126,35.7,35.3,35.7 / 126,35.3 / 125,47.4,46.9,126,126,428119,6493,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
48,29211,1,Negro,M,72,73.7,97.6,129,36.3,37.4,36.3 / 131,37.4 / 126,48.5,49.1,131,131,428104,7001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
49,29211,1,Rojo,F,72,73.5,104,130,37.2,36.3,37.2 / 130,36.3 / 129,52.5,51.5,130,130,428116,5869,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
